5,0.0072889,0.0065412,0.0040571,0.015162,0.011634,0.0098269,0.017665,0.013722,0.0070345,0.031251,0.0054591,0.02976,0.0073006,0.010017,0.025427,0.02205,0.011206,0.0096179,0.0079333,0.0057596,0.0072982,0.01399,0.013765,0.019035,0.019481,0.014674,0.013314,0.0068571,0.0047228,0.0059131,0.10412,0.12167,0.14751,0.10424,0.061529,0.080979,0.10017,0.062136,0.10821,0.069798,0.050467,0.10499,0.11685,0.097464,0.091006,0.13636,0.081552,0.11307,0.12191,0.14215,0.082495,0.077469,0.11813,0.11578,0.056712,0.13444,0.093787,0.1264,0.18494,0.069708,0.10891,0.097734,0.073348,0.21326,0.16269
10,0.0079704,0.0081934,0.007172,0.015292,0.01326,0.011608,0.016748,0.013763,0.0090335,0.032335,0.0075335,0.032021,0.0087812,0.011773,0.025148,0.019993,0.011636,0.013336,0.009628,0.0072276,0.010695,0.013682,0.014083,0.018155,0.019968,0.014924,0.016848,0.010727,0.0061498,0.0095592,0.28791,0.2379,0.35448,0.38369,0.20748,0.30615,0.32094,0.29398,0.37362,0.32948,0.14934,0.31531,0.44063,0.29729,0.26794,0.43708,0.29292,0.41756,0.41936,0.28051,0.351,0.35036,0.42399,0.39556,0.069167,0.31579,0.14872,0.22773,0.25446,0.084258,0.27459,0.3442,0.15583,0.43583,0.3193
15,0.010389,0.0085997,0.0091577,0.014612,0.012911,0.014031,0.01884,0.01883,0.0094356,0.030897,0.0086492,0.030786,0.010523,0.013239,0.029438,0.020886,0.01212,0.013964,0.010966,0.010825,0.013007,0.01349,0.015046,0.021725,0.019877,0.016285,0.018662,0.012731,0.0082784,0.012068,0.29978,0.2788,0.1919,0.22337,0.14869,0.19194,0.21144,0.17146,0.21108,0.21427,0.13882,0.28624,0.31489,0.33306,0.31357,0.29677,0.23911,0.22934,0.24137,0.26338,0.22881,0.24827,0.32889,0.34086,0.11593,0.21095,0.15093,0.27249,0.1931,0.11968,0.24137,0.27438,0.14854,0.38782,0.18729
20,0.01282,0.010224,0.010315,0.016605,0.013622,0.016091,0.022691,0.018234,0.010161,0.032788,0.011515,0.029812,0.011036,0.014485,0.028435,0.022317,0.014595,0.015413,0.013307,0.010619,0.017895,0.015894,0.015687,0.022809,0.01928,0.014512,0.022249,0.013552,0.01007,0.012143,0.22469,0.20672,0.15385,0.16749,0.14551,0.16836,0.18745,0.14615,0.17312,0.15062,0.14304,0.18391,0.21577,0.29397,0.28372,0.19811,0.17697,0.18011,0.21159,0.27729,0.23004,0.15052,0.18824,0.20669,0.15343,0.27905,0.15561,0.16962,0.23575,0.15843,0.28808,0.21526,0.15124,0.24179,0.25023
25,0.011032,0.0091607,0.0093362,0.018124,0.013952,0.014934,0.02269,0.015885,0.011728,0.032113,0.010695,0.029949,0.010991,0.014078,0.028658,0.022001,0.014201,0.01709,0.013374,0.011054,0.016412,0.015185,0.016442,0.020655,0.022147,0.017546,0.0223,0.014937,0.0099316,0.013186,0.23071,0.1938,0.17996,0.14121,0.1995,0.1822,0.16563,0.15919,0.18431,0.11552,0.20615,0.12934,0.21507,0.2794,0.19823,0.14716,0.14271,0.13096,0.19945,0.236,0.22132,0.13203,0.14746,0.197,0.17978,0.22926,0.27139,0.13892,0.19927,0.18641,0.24009,0.14709,0.26417,0.19648,0.22387
30,0.010357,0.01193,0.0074478,0.018283,0.014123,0.014445,0.020879,0.017708,0.010878,0.031813,0.0097746,0.028869,0.010678,0.013949,0.02716,0.02279,0.012449,0.018048,0.012911,0.010957,0.013269,0.013286,0.016601,0.021635,0.018527,0.014806,0.017683,0.013812,0.0090422,0.011036,0.27906,0.25338,0.2278,0.19301,0.20925,0.21042,0.23198,0.22999,0.2508,0.13385,0.20144,0.16887,0.25702,0.23583,0.26077,0.19108,0.19546,0.16595,0.24679,0.28337,0.20815,0.15291,0.2097,0.25014,0.23813,0.28624,0.31938,0.13877,0.27471,0.24209,0.2888,0.14296,0.31514,0.19072,0.30341
35,0.0084844,0.0083573,0.0055572,0.014377,0.011947,0.010165,0.019007,0.017198,0.0077038,0.029744,0.0072134,0.028912,0.0077039,0.013177,0.025237,0.023601,0.011417,0.011427,0.010388,0.0074998,0.01044,0.012867,0.014335,0.021324,0.019355,0.014479,0.01402,0.0098385,0.0060042,0.0074797,0.38624,0.30944,0.22161,0.19162,0.27705,0.28342,0.2688,0.29926,0.25061,0.15928,0.27103,0.19369,0.30318,0.29122,0.27255,0.28865,0.19736,0.21555,0.28183,0.33957,0.21402,0.17914,0.28548,0.24926,0.2988,0.32168,0.33699,0.17744,0.34547,0.30872,0.32315,0.14375,0.36741,0.22207,0.36556
40,0.0086139,0.0073155,0.0043473,0.013903,0.011395,0.008634,0.016505,0.014951,0.0069183,0.031986,0.005593,0.030287,0.0084355,0.011989,0.026397,0.022624,0.0095794,0.012404,0.0086795,0.0057358,0.0078002,0.012484,0.012653,0.019307,0.0187,0.014974,0.0091662,0.0078457,0.004496,0.0072344,0.40381,0.35991,0.28056,0.23228,0.29968,0.29903,0.31732,0.34563,0.29044,0.19764,0.2974,0.2017,0.34818,0.31137,0.32039,0.28161,0.20956,0.20197,0.30694,0.32755,0.25553,0.17775,0.28366,0.26797,0.28904,0.37142,0.44256,0.19122,0.34439,0.28792,0.351,0.16936,0.44799,0.2394,0.36496
45,0.008321,0.0090663,0.0053006,0.014738,0.013126,0.010736,0.019738,0.015167,0.0083878,0.02968,0.0074821,0.029975,0.0089384,0.011325,0.028248,0.02316,0.010495,0.013608,0.0091127,0.0075315,0.009832,0.013764,0.01288,0.019101,0.019131,0.013171,0.013237,0.0098421,0.0050873,0.0074853,0.34664,0.32086,0.32487,0.22663,0.38421,0.25413,0.29783,0.36012,0.34264,0.2041,0.36929,0.21379,0.37559,0.31898,0.33465,0.30174,0.24193,0.20189,0.34242,0.38607,0.26294,0.19853,0.31817,0.29721,0.3071,0.39132,0.35832,0.15649,0.32062,0.32009,0.42196,0.16251,0.34868,0.23949,0.34127
50,0.010163,0.011721,0.0097008,0.018964,0.01402,0.013489,0.020381,0.016248,0.011353,0.032794,0.010851,0.030155,0.011611,0.014216,0.027524,0.021394,0.011971,0.016857,0.014151,0.010388,0.014911,0.013762,0.015752,0.023497,0.020204,0.014536,0.016819,0.0141,0.0098143,0.012683,0.39243,0.38416,0.28658,0.23355,0.37584,0.30061,0.34411,0.32889,0.28725,0.19926,0.3638,0.18899,0.33204,0.29913,0.32339,0.29427,0.26551,0.19416,0.31853,0.34102,0.23989,0.18786,0.30747,0.31626,0.34885,0.41447,0.36811,0.19034,0.42375,0.35928,0.42943,0.16377,0.36824,0.26922,0.46211
